         3032499 function calls (3027683 primitive calls) in 2.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1621(_BaseV6)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1713(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:639(HTMLDoc)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:529(Doc)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       12    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:448(_uniq)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:383(_IPAddressBase)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       26    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:431(_ip_int_from_prefix)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/functools.py:867(_is_union_type)
       40    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/collections/__init__.py:432(<genexpr>)
       10    0.000    0.000    0.000    0.000 <frozen posixpath>:229(expanduser)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/functools.py:544(decorating_function)
        8    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/_pyrepl/pager.py:1(<module>)
       15    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/enum.py:1591(_get_value)
       33    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 {method 'format_map' of 'str' objects}
       33    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_datetime.py:27(_default_datetime_formatter)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1280(IPv4Address)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:230(__init__)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_datetime.py:139(__format__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/functools.py:504(lru_cache)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1933(IPv6Address)
       34    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:166(basename)
       12    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       32    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       39    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:171(__setitem__)
        6    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/reprlib.py:51(__init__)
       31    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/functools.py:878(register)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       35    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/contextlib.py:108(__init__)
        2    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_handler.py:110(_protected_lock)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1139(_BaseV4)
       26    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:415(_check_int_address)
       14    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:303(checkgroupname)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:1265(TextDoc)
        7    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:470(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:894(_parse_flags)
       27    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/importlib/_abc.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:573(isstring)
        7    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/contextlib.py:303(helper)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1601(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1103(_resolve_filename)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_simple_sinks.py:15(write)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/sysconfig/__init__.py:448(get_paths)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/weakref.py:367(__init__)
        2    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/util.py:138(_stringify_path)
        9    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:2225(IPv6Interface)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:954(fix_flags)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/typing.py:2555(get_origin)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:235(LazyLoader)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1430(IPv4Interface)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/substrait.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/multiprocessing/process.py:234(ident)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/weakref.py:495(popitem)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/sysconfig/__init__.py:540(get_config_vars)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/functools.py:994(__init__)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:30(Reader)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 {built-in method now}
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:610(ClassDoc)
        1    0.000    0.000    0.000    0.000 <frozen os>:712(__getitem__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:599(__init__)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:431(_get_iscased)
        1    0.000    0.000    0.000    0.000 <frozen os>:794(encode)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:972(clear)
        8    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        7    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method combine}
        7    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:361(_fix_result_transcoding)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1181(__init__)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:76(__init__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/typing.py:3821(__getattr__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:597(HTMLRepr)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/threading.py:1430(current_thread)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(get_filename)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1158(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:563(_BaseAddress)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/sysconfig/__init__.py:460(get_path)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/contextlib.py:136(__enter__)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:563(FunctionDoc)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1304(__init__)
        9    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:119(_incompatible_extension_module_restrictions)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:1233(TextRepr)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:157(_splitext)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/contextlib.py:145(__exit__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:190(_NetlocResultMixinStr)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1497(IPv4Network)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/parquet/core.py:1497(schema)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/types.py:339(__getattr__)
        3    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/util.py:134(_is_path_like)
        1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:856(_Quoter)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_recattrs.py:16(__format__)
        1    0.000    0.000    0.000    0.000 {method '__format__' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/enum.py:200(__get__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:448(ErrorDuringImport)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1171(exec_module)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1014(create_module)
        2    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:1235(__init__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/functools.py:871(_is_valid_dispatch_type)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:410(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:136(_ResultMixinStr)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:2300(IPv6Network)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/_compute_docstrings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_recattrs.py:8(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:220(_NetlocResultMixinBytes)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_recattrs.py:23(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/importlib/_abc.py:6(Loader)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/functools.py:1000(__set_name__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:2232(ModuleScanner)
       10    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/_distutils_hack/__init__.py:108(<lambda>)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_datetime.py:52(_compile_format)
        1    0.000    0.000    0.000    0.000 <frozen importlib.util>:168(_LazyModule)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:323(DefragResult)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/threading.py:1113(ident)
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'datetime.time' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:331(SplitResult)
        1    0.000    0.000    0.000    0.000 {method 'timestamp' of 'datetime.datetime' objects}
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_recattrs.py:51(__init__)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:42(_get_sep)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:350(SplitResultBytes)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:20(AddressValueError)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:144(_ResultMixinBytes)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/multiprocessing/process.py:37(current_process)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:1666(_PlainTextDoc)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:602(ObjDoc)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:1992(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:342(DefragResultBytes)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:336(ParseResult)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:107(ParseError)
        3    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1131(_BaseConstants)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_recattrs.py:37(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/multiprocessing/process.py:99(_check_closed)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/threading.py:1097(name)
        1    0.000    0.000    0.000    0.000 {method 'time' of 'datetime.datetime' objects}
        1    0.000    0.000    0.000    0.000 {method 'get' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:24(NetmaskValueError)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/parse.py:355(ParseResultBytes)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/multiprocessing/process.py:189(name)
        1    0.000    0.000    0.000    0.000 {method 'date' of 'datetime.datetime' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/enum.py:1339(value)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/urllib/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/_pyrepl/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}


