         3032499 function calls (3027683 primitive calls) in 2.600 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1351    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:87(is_empty)
     1124    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        9    0.000    0.000    0.001    0.000 /usr/local/lib/python3.13/collections/__init__.py:358(namedtuple)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
      108    0.000    0.000    0.016    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:146(__init__)
      341    0.000    0.000    0.002    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:558(dedent_lines)
      217    0.000    0.000    0.002    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:216(_read_sections)
     78/8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:37(_compile)
      523    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:97(peek)
      108    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:2123(_signature_bound_method)
       13    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
     2376    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/copy.py:173(_deepcopy_atomic)
      216    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:1793(_check_class)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1136    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     1090    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/enum.py:1158(__new__)
       27    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
      108    0.000    0.000    0.017    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/compute.py:122(_scrape_options_class_doc)
      216    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:1819(_shadowed_dict)
       13    0.000    0.000    0.000    0.000 {built-in method posix.replace}
     1990    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:2838(kind)
     1122    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      216    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:1832(getattr_static)
      109    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:192(_strip)
      249    0.000    0.000    0.001    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:84(read_to_next_empty_line)
     1541    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:2826(name)
     32/1    0.000    0.000    0.127    0.127 <frozen importlib._bootstrap>:1349(_find_and_load)
      108    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:177(get_annotations)
      116    0.000    0.000    0.001    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:205(_read_to_next_section)
      518    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:167(__getitem__)
      233    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:56(read)
      233    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:21(strip_blank_lines)
      540    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:304(isclass)
      108    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:2149(_signature_is_builtin)
      216    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:35(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/sysconfig/__init__.py:261(_extend_dict)
      108    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:2496(_descriptor_get)
      281    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/compute.py:244(_make_generic_wrapper)
     32/1    0.000    0.000    0.127    0.127 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        4    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       14    0.000    0.000    0.081    0.006 <frozen importlib._bootstrap_external>:1090(get_code)
       14    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      757    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      233    0.000    0.000    0.001    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:92(read_to_next_unindented_line)
     36/8    0.000    0.000    0.001    0.000 /usr/local/lib/python3.13/re/_parser.py:451(_parse_sub)
      627    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
   103/33    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:177(getwidth)
      108    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:3129(replace)
      324    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:393(isfunction)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/fs.py:130(_resolve_filesystem_and_path)
        1    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/loguru/_logger.py:1931(_log)
       35    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1661(_ip_int_from_string)
       26    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_compiler.py:241(_optimize_charset)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
      108    0.000    0.000    0.006    0.000 /usr/local/lib/python3.13/inspect.py:3113(from_callable)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
      540    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      108    0.000    0.000    0.006    0.000 /usr/local/lib/python3.13/inspect.py:3392(signature)
      803    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/inspect.py:2830(default)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      574    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.058    0.058 /usr/local/lib/python3.13/urllib/parse.py:1(<module>)
     25/1    0.000    0.000    0.127    0.127 <frozen importlib._bootstrap>:911(_load_unlocked)
       88    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1213(_parse_octet)
      271    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:260(get)
      478    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/re/_parser.py:239(__next)
        1    0.000    0.000    0.066    0.066 /usr/local/lib/python3.13/pydoc.py:1(<module>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
       35    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:2316(__init__)
      216    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      224    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:162(__setitem__)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/sysconfig/__init__.py:252(_subst_vars)
     15/1    0.000    0.000    0.125    0.125 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
       52    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1939(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/pydoc.py:1812(Helper)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:200(_write_atomic)
        1    0.000    0.000    0.115    0.115 /app/.venv/lib/python3.13/site-packages/pyarrow/compute.py:1(<module>)
      218    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:403(<genexpr>)
      324    0.000    0.000    0.000    0.000 /app/.venv/lib/python3.13/site-packages/pyarrow/vendored/docscrape.py:53(reset)
      112    0.000    0.000    0.001    0.000 /usr/local/lib/python3.13/re/__init__.py:287(compile)
       56    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:533(_split_addr_prefix)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
       21    0.000    0.000    0.000    0.000 /usr/local/lib/python3.13/ipaddress.py:1512(__init__)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1240(set_data)
       13    0.000    0.000    0.000    0.000 {built-in method _io.open}
      173    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
